est_year,season,survey_area,xmin_fit,xmax_fit,xmin_actual,xmax_actual,n,b,confMin,confMax,spectra_type,stdErr,C,area_titles,bot_temp,region,total_weight_lb
1981,Fall,MAB,1,179362.7042543249,0.13068486344424823,179362.7042543249,34649,-1.22047966412572,-1.2234796641257195,-1.2174796641257195,bodymass,0.00153061224489796,0.23693424144077477,Mid-Atlantic Bight,8.547000889229563,NA,41838565
1981,Fall,SNE,1,23818.110688988538,0.04477530764288502,23818.110688988538,41313,-1.0835146174407098,-1.0865146174407097,-1.0805146174407096,bodymass,0.00153061224489796,0.14677104132168184,Southern New England,7.522345648457209,NA,143445273
1981,Spring,GB,1,17677.5810243435,0.22088083074007553,17677.5810243435,20285,-0.8874733742221936,-0.8924733742221935,-0.8824733742221937,bodymass,0.00255102040816321,0.05610292861385615,Georges Bank,7.168920363185901,NA,111449342
1981,Spring,GoM,1,26731.04052711372,0.156153224308877,26731.04052711372,11320,-0.9358774154659592,-0.941877415465959,-0.9298774154659588,bodymass,0.00306122448979597,0.06950779210165488,Gulf of Maine,7.215746103302907,NA,371209571
1981,Spring,MAB,1,18138.000880451254,0.2960716094033669,18138.000880451254,22675,-1.055648143476546,-1.059648143476546,-1.051648143476546,bodymass,0.00204081632653061,0.13232290411136738,Mid-Atlantic Bight,8.547000889229563,NA,41838565
1981,Spring,SNE,1,21313.60055530081,0.0333266025471368,21313.60055530081,29289,-0.9931827395154436,-0.9961827395154434,-0.9901827395154434,bodymass,0.00153061224489796,0.09696004779357822,Southern New England,7.522345648457209,NA,143445273
1982,Fall,GB,1,16087.019982701133,0.12114625991347348,16087.019982701133,12252,-0.97341612894103,-0.9794161289410296,-0.9674161289410296,bodymass,0.00306122448979597,0.09052211301761584,Georges Bank,7.822002438093327,NA,112501235
1982,Fall,GoM,1,19238.84596347229,0.3735691319226485,19238.84596347229,8044,-0.8812344004532049,-0.8882344004532048,-0.8742344004532048,bodymass,0.00357142857142857,0.05332734746887264,Gulf of Maine,7.366200123196942,NA,288232824
1982,Fall,MAB,1,130449.93144195284,0.04835555390003871,130449.93144195284,10669,-1.2048579845100338,-1.210857984510034,-1.1988579845100338,bodymass,0.00306122448979597,0.22500713659335608,Mid-Atlantic Bight,8.689046790958505,NA,27884157
1982,Fall,SNE,1,10069.000645058371,0.00536668585061283,10069.000645058371,28959,-1.0919167896619588,-1.0959167896619588,-1.0879167896619588,bodymass,0.00204081632653061,0.16086414129072574,Southern New England,8.318843196204622,NA,126411906
1982,Spring,GB,1,17641.156647788477,0.5327770689848076,17641.156647788477,8197,-0.8008342471461972,-0.8088342471461973,-0.7928342471461973,bodymass,0.00408163265306122,0.03313507868143775,Georges Bank,7.822002438093327,NA,112501235
1982,Spring,GoM,1,24218.154596176933,0.2960716094033669,24218.154596176933,9083,-0.90747749562689,-0.9144774956268896,-0.9004774956268897,bodymass,0.00357142857142857,0.05989785542895027,Gulf of Maine,7.366200123196942,NA,288232824
1982,Spring,MAB,1,17153.36239931357,0.10259749676006846,17153.36239931357,16424,-0.969321996397348,-0.974321996397348,-0.9643219963973482,bodymass,0.00255102040816321,0.08798916651271184,Mid-Atlantic Bight,8.689046790958505,NA,27884157
1982,Spring,SNE,1,58363.34624539164,0.20508926478290912,58363.34624539164,23362,-0.9971990333336616,-1.0011990333336611,-0.9931990333336612,bodymass,0.00204081632653061,0.08972748631730165,Southern New England,8.318843196204622,NA,126411906
1983,Fall,GB,1,13868.505239584783,0.1548757726287886,13868.505239584783,12363,-0.910912561046022,-0.9169125610460218,-0.9049125610460216,bodymass,0.00306122448979597,0.06654014990721778,Georges Bank,9.244328955273998,NA,99140729
1983,Fall,GoM,1,22248.49588280608,0.3735691319226485,22248.49588280608,11742,-0.940754705093703,-0.9467547050937032,-0.9347547050937028,bodymass,0.00306122448979597,0.07318807365399764,Gulf of Maine,6.64636038440769,NA,285561100
1983,Fall,MAB,1,160905.35229428712,0.05436969075107158,160905.35229428712,31753,-1.219292653396282,-1.222292653396282,-1.216292653396282,bodymass,0.00153061224489796,0.2363449834779115,Mid-Atlantic Bight,12.05511034737646,NA,28312851
1983,Fall,SNE,1,16087.019982701133,0.04477530764288502,16087.019982701133,72814,-1.153030860943811,-1.155030860943811,-1.1510308609438105,bodymass,0.00102040816326536,0.1980040240213072,Southern New England,10.60108952577227,NA,121555804
1983,Spring,GB,1,31979.931762689223,0.5327770689848076,31979.931762689223,12591,-0.9531121546036498,-0.9581121546036496,-0.94811215460365,bodymass,0.00255102040816321,0.07485438777077309,Georges Bank,9.244328955273998,NA,99140729
1983,Spring,GoM,1,25929.246581947384,1.0547470274609427,25929.246581947384,7843,-0.9784513049568248,-0.9854513049568248,-0.9714513049568247,bodymass,0.00357142857142857,0.0880135209836148,Gulf of Maine,6.64636038440769,NA,285561100
1983,Spring,MAB,1,21876.03589649733,0.10259749676006846,21876.03589649733,11715,-0.880182409333771,-0.8861824093337709,-0.8741824093337707,bodymass,0.00306122448979597,0.05183887737360843,Mid-Atlantic Bight,12.05511034737646,NA,28312851
1983,Spring,SNE,1,23818.110688988538,0.22088083074007553,23818.110688988538,21330,-1.019161157651868,-1.023161157651868,-1.015161157651868,bodymass,0.00204081632653061,0.10911279108032489,Southern New England,10.60108952577227,NA,121555804
1984,Fall,GB,1,15347.204118754207,0.10259749676006846,15347.204118754207,11732,-0.9900305033773884,-0.9960305033773886,-0.9840305033773884,bodymass,0.00306122448979597,0.09884362610949624,Georges Bank,7.489345413380304,NA,83114541
1984,Fall,GoM,1,23843.05470005078,0.3735691319226485,23843.05470005078,6941,-0.918702089872508,-0.9267020898725082,-0.9107020898725082,bodymass,0.00408163265306122,0.0640550848542436,Gulf of Maine,7.11705236738011,NA,283694725
